Transect,SiteName,AbrSiteName,BarrenLand,Building,CultivatedCrops,DeciduousForest,EvergreenForest,Grassland,MixedForest,Pavement,ShrubScrub,Total,%Error,TrapNights,Cx.sal,Ae.albo,Ae.cin,Ae.vex,Ps.fer,Cx.err,Ps.col,Oc.tris,Cx.pip/q,Oc.can,Coq,An.quad,An.cruc,An.punc,Oc.hen,Oc.atl,Oc.dup,Ps.cyan,Ps.how,Ae.jap,Oc.inf,Ps.cil,Ur.saph
DU1,Durham1.1,DU1.1,0,191.5265624,0,125.3924543,2321.10047,28733.56166,0.332846826,0,0,31371.914,0.14010727,10,19,0,1,16,1,372,104,0,2,0,0,2,0,1,0,1,0,0,0,0,0,4,0
DU1,Durham1.2,DU1.2,0,78.79295712,0,13.96360377,10517.14202,13264.02174,7499.490976,0,0,31373.4113,0.135341207,11,0,3,2,6,0,643,5,0,0,0,0,1,0,5,0,5,0,0,0,1,2,1,0
DU1,Durham1.3,DU1.3,0,67.26815781,0,4.97839633,11350.70573,10478.23791,8448.913937,0,0,30350.10413,3.392628737,11,3,3,3,13,3,208,7,0,0,0,0,1,0,1,1,13,1,0,0,1,0,0,0
DU1,Durham1.4,DU1.4,0,53.39431068,0,0,12404.39716,9783.622619,9131.959707,0,0,31373.3738,0.135460575,10,4,15,6,6,14,9,0,2,0,7,0,0,0,0,0,13,1,0,0,2,0,0,0
DU1,Durham1.5,DU1.5,0,0,0,1204.513041,21905.71706,1024.527667,7238.963746,0,0,31373.72151,0.134353778,11,7,31,40,9,490,259,0,5,0,46,0,0,0,3,1,268,26,1,0,0,0,0,1
DU2,Durham2.1,DU2.1,1697.296299,267.3017379,0,4034.203236,4893.341934,20430.41363,51.63713069,0,0,31374.19397,0.1328499,9,8,0,1,19,0,106,39,0,2,0,0,3,0,2,0,0,0,0,0,4,0,2,0
DU2,Durham2.2,DU2.2,1425.008343,335.2567335,0,10415.39326,4611.797496,10992.58546,3682.080216,0,0,31462.1215,0.147032108,11,5,3,1,26,0,153,5,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0
DU2,Durham2.3,DU2.3,1259.327296,301.6564327,0,11737.5973,4313.478965,10115.76842,3732.160571,0,0,31459.98898,0.140244078,11,7,9,2,10,4,194,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DU2,Durham2.4,DU2.4,1097.157733,282.464119,0,13180.50917,4149.411334,8997.386489,3752.474022,0,0,31459.40287,0.138378427,11,4,30,0,11,6,158,1,1,0,2,0,1,0,7,2,2,1,0,0,0,0,0,4
DU2,Durham2.5,DU2.5,0,152.8921788,0,23534.7454,5329.781027,162.2266425,2194.507352,0,0,31374.1526,0.132981582,11,1,15,1,10,9,53,2,1,0,3,0,1,0,5,1,0,2,0,0,0,0,0,0
DU3,Durham3.1,DU3.1,1616.914106,451.4262632,0,0,6177.625112,21435.06024,1638.185317,0,55.69653328,31374.90757,0.13057844,11,11,2,2,20,0,66,121,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0
DU3,Durham3.2,DU3.2,0,420.7955711,0,5496.164382,2801.191802,18409.07905,4243.47754,0,0,31370.70834,0.14394499,11,3,6,2,10,0,43,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DU3,Durham3.3,DU3.3,0,448.2816763,0,6668.123363,2786.97642,17030.71675,0,4437.668752,0,31371.76696,0.140575292,11,9,7,1,6,0,63,18,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0
DU3,Durham3.4,DU3.4,0,609.9972645,0,0,10631.24622,15524.83593,4631.321483,14.33435376,0,31411.73526,0.013352279,11,5,12,2,23,0,119,10,0,2,0,1,1,0,2,1,0,0,0,0,0,1,0,0
DU3,Durham3.5,DU3.5,0,754.8307491,0,0,21661.16393,4167.544368,4233.505529,619.8902138,0,31436.93479,0.066860316,11,2,34,6,18,20,265,1,2,0,11,0,0,0,7,1,1,1,0,0,0,0,0,0
PR1,PrairieRidge1.1,PR1.1,1093.166432,23.10534889,0,1794.300449,0,24236.97791,0,0,4367.972363,31515.52251,0.317012764,11,75,0,0,11,0,6,121,0,29,0,0,1,0,0,0,0,0,2,0,0,0,0,0
PR1,PrairieRidge1.2,PR1.2,410.341633,0,0,12899.73311,2987.428291,12690.28061,0,0,2514.38541,31502.16906,0.274507425,11,69,1,3,12,0,4,92,0,31,0,0,7,0,1,0,0,0,0,1,0,0,1,0
PR1,PrairieRidge1.3,PR1.3,391.0267573,0,0,14570.22949,3263.297154,10824.64105,0,0,2449.599631,31498.79408,0.263764538,11,42,4,2,4,0,33,11,0,126,0,0,1,1,12,1,0,0,0,0,0,0,0,0
PR1,PrairieRidge1.4,PR1.4,356.6612551,0,0,15964.55391,3747.573076,9047.73054,0,0,2376.182531,31492.70131,0.244370642,11,10,37,2,5,3,17,1,2,12,3,0,2,0,2,1,0,0,0,0,0,1,0,2
PR1,PrairieRidge1.5,PR1.5,0,0,0,15693.83261,13383.06369,3090.0943,0,592.970074,0,32759.96068,4.278182052,11,7,22,0,12,9,21,0,8,28,7,0,0,0,5,3,0,0,0,0,0,0,0,0
